K,seed,D,sim,n,theoretical TV bound of single,theoretical TV bound of multi,theoretical advantage (abs),empirical TV of single,empirical TV of multi,advantage (abs)
1,5662.4,10.0,0.5,500.0,0.1414213562373095,0.1414213562373095,0.0,0.052748361974954604,0.052748361974954604,0.0
3,5662.4,10.0,0.5,500.0,0.2449489742783178,0.2,0.04494897427831779,0.0926000252366066,0.07200785800814628,0.02059216722846031
5,5662.4,10.0,0.5,500.0,0.31622776601683794,0.2449489742783178,0.07127879173852014,0.12397008836269378,0.0962450385093689,0.02772504985332489
10,5662.4,10.0,0.5,500.0,0.447213595499958,0.33166247903553997,0.11555111646441796,0.1749919205904007,0.12871579825878143,0.04627612233161926
15,5662.4,10.0,0.5,500.0,0.5477225575051661,0.4,0.14772255750516605,0.2098243921995163,0.15441174805164337,0.055412644147872926
