sim,seed,K,D,n,theoretical TV bound of single,theoretical TV bound of multi,theoretical advantage (abs),empirical TV of single,empirical TV of multi,advantage (abs)
0.0,5662.4,5.0,10.0,500.0,0.31622776601683794,0.31622776601683794,0.0,0.12397008985280991,0.12397008985280991,0.0
0.3,5662.4,5.0,10.0,500.0,0.31622776601683794,0.27568097504180444,0.0405467909750335,0.12397010624408722,0.10675685405731201,0.017213252186775208
0.5,5662.4,5.0,10.0,500.0,0.31622776601683794,0.2449489742783178,0.07127879173852014,0.12397008836269378,0.0962450385093689,0.02772504985332489
0.7,5662.4,5.0,10.0,500.0,0.31622776601683794,0.20976176963403032,0.10646599638280763,0.12397008985280991,0.08130722045898438,0.042662869393825534
1.0,5662.4,5.0,10.0,500.0,0.31622776601683794,0.1414213562373095,0.17480640977952844,0.12397008389234543,0.04897033721208573,0.0749997466802597
