n,seed,K,D,sim,theoretical TV bound of single,theoretical TV bound of multi,theoretical advantage (abs),empirical TV of single,empirical TV of multi,advantage (abs)
100,5662.4,5.0,10.0,0.5,0.7071067811865476,0.5477225575051661,0.1593842236813815,0.2787450134754181,0.2037477523088455,0.07499726116657257
300,5662.4,5.0,10.0,0.5,0.408248290463863,0.31622776601683794,0.09202052444702508,0.17027198970317842,0.12854499667882918,0.041726993024349214
500,5662.4,5.0,10.0,0.5,0.31622776601683794,0.2449489742783178,0.07127879173852014,0.12397008836269378,0.0962450385093689,0.02772504985332489
1000,5662.4,5.0,10.0,0.5,0.223606797749979,0.17320508075688773,0.05040171699309124,0.0914728194475174,0.07175437062978744,0.01971844881772995
5000,5662.4,5.0,10.0,0.5,0.1,0.07745966692414834,0.022540333075851668,0.038494200259447095,0.029033353552222252,0.009460846707224847
